Designator,Mid X,Mid Y,Layer,Rotation
"C1",152.200000,-100.700000,top,180.000000
"C2",145.900000,-95.300000,top,-90.000000
"C3",148.000000,-95.300000,top,-90.000000
"C4",152.200000,-98.500000,top,180.000000
"C5",158.050000,-109.700000,top,180.000000
"C6",110.500000,-127.195000,top,180.000000
"C7",111.900000,-115.800000,top,180.000000
"C8",110.500000,-124.795000,top,180.000000
"C9",111.850000,-113.400000,top,180.000000
"C10",128.090000,-114.700000,top,90.000000
"C11",130.500000,-114.700000,top,90.000000
"C12",129.450000,-126.995000,top,180.000000
"C13",129.450000,-124.715000,top,180.000000
"C14",150.000000,-115.900000,top,180.000000
"C15",150.000000,-113.590000,top,180.000000
"C16",149.250000,-127.095000,top,180.000000
"C17",149.250000,-124.585000,top,180.000000
"C18",149.900000,-106.400000,top,90.000000
"C19",138.500000,-106.400000,top,-90.000000
"D1",169.450000,-127.100000,top,180.000000
"D2",175.200000,-127.100000,top,0.000000
"J1",150.000000,-132.000000,top,0.000000
"J2",135.000000,-132.000000,top,0.000000
"J3",120.000000,-132.000000,top,0.000000
"J4",170.000000,-132.150000,top,0.000000
"J8",152.260000,-76.865000,top,0.000000
"L1",152.200000,-90.500000,top,0.000000
"Q1",167.800000,-122.600000,top,-90.000000
"Q2",176.850000,-122.600000,top,-90.000000
"R1",156.500000,-95.387500,top,90.000000
"R2",158.500000,-95.387500,top,-90.000000
"R3",167.800000,-118.600000,top,180.000000
"R4",176.850000,-118.600000,top,180.000000
"U1",152.187500,-95.400000,top,0.000000
"U3",118.100000,-125.595000,top,90.000000
"U4",118.100000,-117.895000,top,0.000000
"U5",158.150000,-105.962500,top,90.000000
"U6",137.075000,-117.895000,top,0.000000
"U7",137.000000,-125.495000,top,90.000000
"U8",156.600000,-117.895000,top,0.000000
"U9",156.600000,-125.495000,top,90.000000
"U10",144.125000,-106.500000,top,-90.000000
